id,job_id,crawl_id,timestamp,url,html,screenshot,screenshot_host,parent_page_url,parent_page_type,parent_page,platform,chumbox_id,max_bid_price,winning_bid,with_context,bb_x,bb_y,bb_height,bb_width
5,,1,2025-05-04 15:39:34.356-05,,"<div class=""ad dfp-ad-top-wrapper css-rfqw0c""><div id=""dfp-ad-top"" class=""place-ad placed-ad"" data-position=""top"" data-size-key=""top"" data-lazy-load=""true"" data-google-query-id=""CLrGiOnVio0DFYHqGAIdSrQr_A""><div id=""google_ads_iframe_/29390238/nyt/homepage_0__container__"" style=""border: 0pt none;""><iframe id=""google_ads_iframe_/29390238/nyt/homepage_0"" name=""google_ads_iframe_/29390238/nyt/homepage_0"" title=""3rd party ad content"" width=""1005"" height=""124"" scrolling=""no"" marginwidth=""0"" marginheight=""0"" frameborder=""0"" aria-label=""Advertisement"" tabindex=""0"" allow=""private-state-token-redemption;attribution-reporting"" data-load-complete=""true"" data-google-container-id=""1"" style=""border: 0px; vertical-align: bottom;""></iframe></div></div></div>",example_crawl_name/scraped_ads/ad_5/ad_5.webp,,https://www.nytimes.com/,main,1,,,,,f,,,,
6,,1,2025-05-04 15:39:39.752-05,,"<div class=""ad dfp-ad-mid1-wrapper css-rfqw0c"" id=""dfp-ad-mid1"" data-google-query-id=""CLX_ofTVio0DFR1WCQkdm4UOaQ""><div id=""google_ads_iframe_/29390238/nyt/homepage_1__container__"" style=""border: 0pt none;""><iframe id=""google_ads_iframe_/29390238/nyt/homepage_1"" name=""google_ads_iframe_/29390238/nyt/homepage_1"" title=""3rd party ad content"" width=""970"" height=""250"" scrolling=""no"" marginwidth=""0"" marginheight=""0"" frameborder=""0"" aria-label=""Advertisement"" tabindex=""0"" allow=""private-state-token-redemption;attribution-reporting"" data-load-complete=""true"" data-google-container-id=""2"" style=""border: 0px; vertical-align: bottom;""></iframe></div></div>",example_crawl_name/scraped_ads/ad_6/ad_6.webp,,https://www.nytimes.com/,main,1,,,,,f,,,,
7,,1,2025-05-04 15:39:45.2-05,,"<div class=""ad dfp-ad-mid2-wrapper css-rfqw0c"" id=""dfp-ad-mid2"" data-google-query-id=""CMClk_fVio0DFSzeGAIdkwsuMA""><div id=""google_ads_iframe_/29390238/nyt/homepage_2__container__"" style=""border: 0pt none; display: inline-block; width: 100%; height: auto;""><iframe frameborder=""0"" src=""https://e259ee8ec40c263c3f4dabda5ab54448.safeframe.googlesyndication.com/safeframe/1-0-44/html/container.html"" id=""google_ads_iframe_/29390238/nyt/homepage_2"" title=""3rd party ad content"" name="""" scrolling=""no"" marginwidth=""0"" marginheight=""0"" width=""0"" height=""246"" data-is-safeframe=""true"" sandbox=""allow-forms allow-popups allow-popups-to-escape-sandbox allow-same-origin allow-scripts allow-top-navigation-by-user-activation"" allow=""private-state-token-redemption;attribution-reporting"" aria-label=""Advertisement"" tabindex=""0"" data-google-container-id=""3"" style=""border: 0px; vertical-align: bottom; min-width: 100%;"" data-load-complete=""true""></iframe></div></div>",example_crawl_name/scraped_ads/ad_7/ad_7.webp,,https://www.nytimes.com/,main,1,,,0.59,f,f,,,,
8,,1,2025-05-04 15:39:50.762-05,,"<div class=""ad dfp-ad-mid3-wrapper css-rfqw0c"" id=""dfp-ad-mid3"" data-google-query-id=""CJPpzvnVio0DFYTqGAIdcYQmeg""><div id=""google_ads_iframe_/29390238/nyt/homepage_3__container__"" style=""border: 0pt none; display: inline-block; width: 1366px; height: 250px;""><iframe frameborder=""0"" src=""https://e259ee8ec40c263c3f4dabda5ab54448.safeframe.googlesyndication.com/safeframe/1-0-44/html/container.html"" id=""google_ads_iframe_/29390238/nyt/homepage_3"" title=""3rd party ad content"" name="""" scrolling=""no"" marginwidth=""0"" marginheight=""0"" width=""1366"" height=""250"" data-is-safeframe=""true"" sandbox=""allow-forms allow-popups allow-popups-to-escape-sandbox allow-same-origin allow-scripts allow-top-navigation-by-user-activation"" allow=""private-state-token-redemption;attribution-reporting"" aria-label=""Advertisement"" tabindex=""0"" data-google-container-id=""4"" style=""border: 0px; vertical-align: bottom;"" data-load-complete=""true""></iframe></div></div>",example_crawl_name/scraped_ads/ad_8/ad_8.webp,,https://www.nytimes.com/,main,1,,,,,f,,,,
9,,1,2025-05-04 15:39:56.218-05,,"<div class=""ad dfp-ad-bottom-wrapper css-rfqw0c"" id=""dfp-ad-bottom"" data-google-query-id=""COPRypTWio0DFVpWCQkdM9cCig""><div id=""google_ads_iframe_/29390238/nyt/homepage_4__container__"" style=""border: 0pt none; display: inline-block; width: 970px; height: 250px;""><iframe frameborder=""0"" src=""https://e259ee8ec40c263c3f4dabda5ab54448.safeframe.googlesyndication.com/safeframe/1-0-44/html/container.html"" id=""google_ads_iframe_/29390238/nyt/homepage_4"" title=""3rd party ad content"" name="""" scrolling=""no"" marginwidth=""0"" marginheight=""0"" width=""970"" height=""250"" data-is-safeframe=""true"" sandbox=""allow-forms allow-popups allow-popups-to-escape-sandbox allow-same-origin allow-scripts allow-top-navigation-by-user-activation"" allow=""private-state-token-redemption;attribution-reporting"" aria-label=""Advertisement"" tabindex=""0"" data-google-container-id=""5"" style=""border: 0px; vertical-align: bottom;"" data-load-complete=""true""></iframe></div></div>",example_crawl_name/scraped_ads/ad_9/ad_9.webp,,https://www.nytimes.com/,main,1,,,,,f,,,,
10,,1,2025-05-04 15:41:06.513-05,,"<div data-uri=""cms.cnn.com/_components/ad-slot/instances/clg34olox006c47nodizieumr@published"" class=""ad-slot adSlotLoaded"" data-path=""main/section[0]/items/scope[0]/items/zone[1]/items/stack[2]/ads"" data-desktop-slot-id=""ad_rect_atf_01"" data-unselectable=""true"" data-ad-slot-rendered-size=""300x250""><div id=""ad_rect_atf_01"" class=""ad adfuel-rendered"" style="""" data-google-query-id=""COv9i7fWio0DFeaEpgQdPw08aw""><div id=""google_ads_iframe_/8663477/CNN/homepage/landing_9__container__"" style=""border: 0pt none; display: inline-block; width: 300px; height: 250px;""><iframe frameborder=""0"" src=""https://1e5f057d7e363ff09724ec56265dd1ea.safeframe.googlesyndication.com/safeframe/1-0-43/html/container.html"" id=""google_ads_iframe_/8663477/CNN/homepage/landing_9"" title=""3rd party ad content"" name="""" scrolling=""no"" marginwidth=""0"" marginheight=""0"" width=""300"" height=""250"" data-is-safeframe=""true"" sandbox=""allow-forms allow-popups allow-popups-to-escape-sandbox allow-same-origin allow-scripts allow-top-navigation-by-user-activation"" allow=""private-state-token-redemption;attribution-reporting"" aria-label=""Advertisement"" tabindex=""0"" style=""border: 0px; vertical-align: bottom;"" data-google-container-id=""k"" data-load-complete=""true""></iframe></div></div>
        <div class=""ad-slot__feedback ad-feedback-link-container"" style=""width: 300px;"">
            <div class=""ad-slot__ad-label"" data-ad-label-text=""Advertisement""></div>
             
  <div data-ad-type=""DISPLAY"" data-ad-identifier=""ad_rect_atf_01"" class=""ad-feedback-link"">
    <div class=""ad-feedback-link__label"">Ad Feedback</div>
  </div> 
        </div>
    </div>",example_crawl_name/scraped_ads/ad_10/ad_10.webp,,https://www.cnn.com/,main,2,,,,,f,,,,
11,,1,2025-05-04 15:41:11.882-05,,"<div data-uri=""cms.cnn.com/_components/ad-slot/instances/clfvfq97k002p3b6d8mtogwos@published"" class=""ad-slot adSlotLoaded"" data-path=""main/section[0]/items/scope[0]/items/zone[1]/items/stack[2]/items/container[0]/ads"" data-desktop-slot-id=""ad_nfs_btf_02"" data-unselectable=""true"" data-ad-slot-rendered-size=""300x100""><div id=""ad_nfs_btf_02"" class=""ad adfuel-rendered"" data-google-query-id=""CIaHjbbWio0DFQ3z9QIdPD4WjA"" style=""""><div id=""google_ads_iframe_/8663477/CNN/homepage/landing_10__container__"" style=""border: 0pt none; display: inline-block; width: 300px; height: 100px;""><iframe frameborder=""0"" src=""https://1e5f057d7e363ff09724ec56265dd1ea.safeframe.googlesyndication.com/safeframe/1-0-43/html/container.html"" id=""google_ads_iframe_/8663477/CNN/homepage/landing_10"" title=""3rd party ad content"" name="""" scrolling=""no"" marginwidth=""0"" marginheight=""0"" width=""300"" height=""100"" data-is-safeframe=""true"" sandbox=""allow-forms allow-popups allow-popups-to-escape-sandbox allow-same-origin allow-scripts allow-top-navigation-by-user-activation"" allow=""private-state-token-redemption;attribution-reporting"" aria-label=""Advertisement"" tabindex=""0"" style=""border: 0px; vertical-align: bottom;"" data-google-container-id=""l"" data-load-complete=""true""></iframe></div></div>
        <div class=""ad-slot__feedback ad-feedback-link-container"" style=""width: 300px;"">
            <div class=""ad-slot__ad-label"" data-ad-label-text=""Advertisement""></div>
             
  <div data-ad-type=""DISPLAY"" data-ad-identifier=""ad_nfs_btf_02"" class=""ad-feedback-link"">
    <div class=""ad-feedback-link__label"">Ad Feedback</div>
  </div> 
        </div>
    </div>",example_crawl_name/scraped_ads/ad_11/ad_11.webp,,https://www.cnn.com/,main,2,,,,,f,,,,
14,,1,2025-05-04 15:41:27.617-05,,"<div data-uri=""cms.cnn.com/_components/ad-slot/instances/clg34olox006447nohfvw49bj@published"" class=""ad-slot adSlotLoaded"" data-path=""main/section[0]/items/scope[0]/items/zone[2]/ads"" data-desktop-slot-id=""ad_bnr_btf_01"" data-unselectable=""true"" data-ad-slot-rendered-size=""970x250""><div id=""ad_bnr_btf_01"" class=""ad adfuel-rendered"" data-google-query-id=""CLHa3L3Wio0DFfTfGAIdalYW9w"" style=""""><div id=""google_ads_iframe_/8663477/CNN/homepage/landing_13__container__"" style=""border: 0pt none;""><iframe id=""google_ads_iframe_/8663477/CNN/homepage/landing_13"" name=""google_ads_iframe_/8663477/CNN/homepage/landing_13"" title=""3rd party ad content"" width=""970"" height=""250"" scrolling=""no"" marginwidth=""0"" marginheight=""0"" frameborder=""0"" aria-label=""Advertisement"" tabindex=""0"" allow=""private-state-token-redemption;attribution-reporting"" sandbox=""allow-forms allow-popups allow-popups-to-escape-sandbox allow-pointer-lock allow-same-origin allow-scripts allow-top-navigation-by-user-activation"" data-load-complete=""true"" style=""border: 0px; vertical-align: bottom;"" data-google-container-id=""o""></iframe></div></div>
        <div class=""ad-slot__feedback ad-feedback-link-container"" style=""width: 970px;"">
            <div class=""ad-slot__ad-label"" data-ad-label-text=""Advertisement""></div>
             
  <div data-ad-type=""DISPLAY"" data-ad-identifier=""ad_bnr_btf_01"" class=""ad-feedback-link"">
    <div class=""ad-feedback-link__label"">Ad Feedback</div>
  </div> 
        </div>
    </div>",example_crawl_name/scraped_ads/ad_14/ad_14.webp,,https://www.cnn.com/,main,2,,,,,f,,,,
15,,1,2025-05-04 15:41:33.101-05,,"<div data-uri=""cms.cnn.com/_components/ad-slot/instances/clg34olov004q47nof22jbnaf@published"" class=""ad-slot adSlotLoaded"" data-path=""main/section[0]/items/scope[0]/items/zone[4]/items/stack[2]/ads"" data-desktop-slot-id=""ad_rect_btf_02"" data-unselectable=""true"" data-ad-slot-rendered-size=""300x250""><div id=""ad_rect_btf_02"" class=""ad adfuel-rendered"" data-google-query-id=""CIf35sLWio0DFaeFpgQdBr4tfQ"" style=""""><div id=""google_ads_iframe_/8663477/CNN/homepage/landing_14__container__"" style=""border: 0pt none;""><iframe id=""google_ads_iframe_/8663477/CNN/homepage/landing_14"" name=""google_ads_iframe_/8663477/CNN/homepage/landing_14"" title=""3rd party ad content"" width=""300"" height=""250"" scrolling=""no"" marginwidth=""0"" marginheight=""0"" frameborder=""0"" aria-label=""Advertisement"" tabindex=""0"" allow=""private-state-token-redemption;attribution-reporting"" sandbox=""allow-forms allow-popups allow-popups-to-escape-sandbox allow-pointer-lock allow-same-origin allow-scripts allow-top-navigation-by-user-activation"" data-load-complete=""true"" style=""border: 0px; vertical-align: bottom;"" data-google-container-id=""p"" data-integralas-id-33a41260-5803-84ea-f393-a9477ba75c21=""""></iframe></div></div>
        <div class=""ad-slot__feedback ad-feedback-link-container"" style=""width: 300px;"">
            <div class=""ad-slot__ad-label"" data-ad-label-text=""Advertisement""></div>
             
  <div data-ad-type=""DISPLAY"" data-ad-identifier=""ad_rect_btf_02"" class=""ad-feedback-link"">
    <div class=""ad-feedback-link__label"">Ad Feedback</div>
  </div> 
        </div>
    </div>",example_crawl_name/scraped_ads/ad_15/ad_15.webp,,https://www.cnn.com/,main,2,,,,,f,,,,
16,,1,2025-05-04 15:41:38.55-05,,"<div data-uri=""cms.cnn.com/_components/ad-slot/instances/clg34olot002e47no0ze448xr@published"" class=""ad-slot adSlotLoaded"" data-path=""main/section[0]/items/scope[0]/items/zone[8]/items/stack[2]/ads"" data-desktop-slot-id=""ad_rect_btf_03"" data-unselectable=""true"" data-ad-slot-rendered-size=""300x600""><div id=""ad_rect_btf_03"" class=""ad adfuel-rendered"" data-google-query-id=""CLGtsMXWio0DFe309QIdPj8PGw"" style=""""><div id=""google_ads_iframe_/8663477/CNN/homepage/landing_15__container__"" style=""border: 0pt none;""><iframe id=""google_ads_iframe_/8663477/CNN/homepage/landing_15"" name=""google_ads_iframe_/8663477/CNN/homepage/landing_15"" title=""3rd party ad content"" width=""300"" height=""600"" scrolling=""no"" marginwidth=""0"" marginheight=""0"" frameborder=""0"" aria-label=""Advertisement"" tabindex=""0"" allow=""private-state-token-redemption;attribution-reporting"" sandbox=""allow-forms allow-popups allow-popups-to-escape-sandbox allow-pointer-lock allow-same-origin allow-scripts allow-top-navigation-by-user-activation"" data-load-complete=""true"" style=""border: 0px; vertical-align: bottom;"" data-google-container-id=""q"" data-integralas-id-917c37bd-2d0f-c3ae-67f0-77cae6701941=""""></iframe></div></div>
        <div class=""ad-slot__feedback ad-feedback-link-container"" style=""width: 300px;"">
            <div class=""ad-slot__ad-label"" data-ad-label-text=""Advertisement""></div>
             
  <div data-ad-type=""DISPLAY"" data-ad-identifier=""ad_rect_btf_03"" class=""ad-feedback-link"">
    <div class=""ad-feedback-link__label"">Ad Feedback</div>
  </div> 
        </div>
    </div>",example_crawl_name/scraped_ads/ad_16/ad_16.webp,,https://www.cnn.com/,main,2,,,,,f,,,,
